product_name,custom_code,material_type,material_finish,eb_brand,panel_type,thickness_band_mm,edge_band_code,price_per_running_meter
GOW003,TK-33,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
GOW003,TK-33,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
GOW003,TK-33,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
GOW003,TK-33,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
GOW003,TK-33,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
GOW003,TK-33,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
GOW004,PO-954,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
GOW004,PO-954,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
GOW004,PO-954,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
GOW004,PO-954,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
GOW004,PO-954,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
GOW004,PO-954,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
MW001,TK-29,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
MW001,TK-29,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
MW001,TK-29,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
MW001,TK-29,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
MW001,TK-29,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
MW001,TK-29,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
MW002,PO-964,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
MW002,PO-964,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
MW002,PO-964,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
MW002,PO-964,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
MW002,PO-964,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
MW002,PO-964,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
