Product serial number,Product name (editable),Custom code (editable),Description (editable),Material Brand Name,Surface Type,Inventory Type,"Material Type
MTY

#mid(0,3)","Material Finish Category
MFC

#mid(5,3)",Grain,"Material Thk 
(In mm)
MTH

#mid(13,6)","Material Square 
Foot Cost 
(Per Sq.Ft)
MSC
#mid(20,6)","Material Glue Cost 
(Per Sq.Ft)
MGC
#mid(27,6)",Material Cost,"Material Size 
(Length in Feet)","Material Size 
(Width in Feet)",EB Article Code,EB Internal Code,EB Brand Name,EB Description,"Edgeband Glue Cost
(Per Running Meter)
EGC","Edge Band
22_0p8","Edge Band
22_1p0","Edge Band
22_2p0","Edge Band
23_1p3","Edge Band
25_1p3","Edge Band
30_0p8","Edge Band
30_2p0","Edge Band
45_0p8","Edge Band
45_2p0",Purchase Cost Validation,Purchase Cost Validate by,Validation Completaion Date,Remark ,,,"Edgeband Glue Cost
(Per Running Meter)
EGC
#mid(0,6)","Edge Band
22_0p8

#mid(8,6)","Edge Band
22_1p0

#mid(15,6)","Edge Band
22_2p0

#mid(22,6)","Edge Band
23_1p0

#mid(29,6)","Edge Band
23_1p3

#mid(36,6)","Edge Band
25_1p3

#mid(43,6)","Edge Band
30_0p8

#mid(50,6)","Edge Band
30_2p0

#mid(57,6)","Edge Band
45_0p8

#mid(64,6)","Edge Band
45_2p0

#mid(71,6)"
3FO3GKB4LFIG,INL002C,HW/BK-SM/1.25MM,SMOKEY MESH,K BOARD,,Inventory,Laminate,Matt,NoGrain,1.25,32,4.2,1024,8,4,701P,EBINL002,Rehau,Smoky Mesh,6.75,12,0,0,0,0,0,0,41.34,0,Done,Sindhu,21-07-2026,660,,Edgeband need to update,,12.72,,,,,,,,41.34,
3FO3GKE67YEG,INL003A,HW/BK-CM/0.8MM,CLEAR MESH,K BOARD,,Inventory,Laminate,Matt,NoGrain,0.8,32,4.2,1024,8,4,9022p,EBINL003,Rehau,Clear mesh,6.75,7.25,0,0,0,0,0,0,41.34,0,Done,Sindhu,21-07-2026,355,0.7,Edgeband need to update,,7.63,,,,,,,,41.34,
3FO3GKE01YCU,INL003B,HW/BK-CM/1MM,CLEAR MESH,K BOARD,,Inventory,Laminate,Matt,NoGrain,1,32,4.2,1024,8,4,9022p,EBINL003,Rehau,Clear mesh,6.75,7.25,0,0,0,0,0,0,41.34,0,Done,Sindhu,21-07-2026,550,,Edgeband need to update,,7.63,,,,,,,,41.34,
3FO3GKEF5TX1,INL003C,HW/BK-CM/1.25MM,CLEAR MESH,K BOARD,,Inventory,Laminate,Matt,NoGrain,1.25,32,4.2,1024,8,4,9022p,EBINL003,Rehau,Clear mesh,6.75,7.25,0,0,0,0,0,0,41.34,0,Done,Sindhu,21-07-2026,660,,Edgeband need to update,,7.63,,,,,,,,41.34,
3FO3GKDUHFF5,AWG004,5331 SUD,MIDNIGHT ACACIA,GREENLAM,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1,38.6,4.2,1235,8,4,684P,EBAWG004,Rehau,684P MICDNIGHT ACACIA,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,27-07-2026,1205 ,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKAR1HVV,AWB003,14664 SUD,SUEDE CLASSIC ASHWOOD,MERINOLAM,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1,39.9,4.2,1276,8,4,746P,EBAWB003,Rehau, 746P BASQUE HEART WOOD,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,21-07-2026,1200,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKAXS56N,AWB004,14650 SUD,WESER PRADO ACACIA,MERINOLAM,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1,39.9,4.2,1276,8,4,726P,EBAWB004,Rehau,726P GREY COBBLE,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,21-07-2026,1200,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKAXA389,BEW002,5338 SUD,SAN STEAMED BOUCHLE,GREENLAM,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1,50.3,4.2,1610,8,4,685P,EBBEW002,Rehau, 685P STEAMED BLOUCHE,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,27-07-2026,1535,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKAQWE4N,BEW003,5348 SUD,SUD SHERWOOD OAK,GREENLAM,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1,39.8,4.2,1272,8,4,694P,EBBEW003,Rehau, 694P HONEY ASH,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,27-07-2026,1205 ,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKEFCFN0,AWG003,1269 CRY-Z,CRYSTAL Z+OL,ROYAL TOUCHE,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1.25,62.1,4.2,1987,8,4,1269,EBAWG003,ROYAL TOUCHE,ROYAL TOUCHE 1269,6.75,0,0,0,28.48,0,0,0,0,0,Done,Sindhu,21-07-2026,1930,Local ,,,,,,30.00,,,,,,
3FO3GKARK89H,AWG005,LG-1664,LG,ROYAL TOUCHE,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1.25,62.1,4.2,1987,8,4,274P ,EBAWG005,Rehau,274P JUNGLE WALNUT,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,21-07-2026,1930,Local ,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKDWGEJR,AWB001,9202 ASW,GALLANTRY SAND OAK,HERITAGE,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1,45.9,4.2,1470,8,4,260P,EBAWB001,Rehau,260P AMAZON SILVER OAK,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,21-07-2026,1400,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKE6Q1CU,AWB002,GR-351,GR,SS,Wooden Finish,Inventory,Laminate,Matt,HorzGrain,1,36.5,4.2,1169,8,4,469P,EBAWB002,Rehau,469P RUSSET TROPICAL,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,27-07-2026,1150,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKB4NFQ2,BRW001,GR-325,GR,SS,Wooden Finish,Inventory,Laminate,Matt,HorzGrain,1,36.5,4.2,1169,8,4,630P,EBBRW001,Rehau,630P RIMINI WALNUT,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,27-07-2026,1150,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKE6WPEU,BRW003,GR-347,GR,SS,Wooden Finish,Inventory,Laminate,Matt,HorzGrain,1,36.5,4.2,1169,8,4,822P ,EBBRW003,Rehau,822P PALAU TEAK,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,27-07-2026,1150,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKECVX2F,BEW001,SM-1731,SM,ROYAL TOUCHE,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1.25,62.1,4.2,1987,8,4,222P ,EBBEW001,Rehau,222P SAVANNAH CHERRY,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,21-07-2026,1930,Local ,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKB4N2CX,BEW004,CF-597,CF 597,ROYAL TOUCHE,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1,42.2,4.2,1349,8,4,173P,EBBEW004,Rehau,173P TAHITI TEAK,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,21-07-2026,1310,Local ,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKE665UW,GOW001,TK-01,TK,SS,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1,36.5,4.2,1169,8,4,974P,EBGOW001,Rehau, 974P VILLAGE OAK,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,27-07-2026,1150,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
